target_gene_name,interactor_gene_name
ARL6IP6,ACTR2
ARL6IP6,APPL1
ARL6IP6,ARPC1A
ARL6IP6,ARPC1B
ARL6IP6,ARPC2
ARL6IP6,BAIAP2
ARL6IP6,CALM2;CALM3;CALM1
ARL6IP6,CLASP1
ARL6IP6,CRTC2
ARL6IP6,FASN
ARL6IP6,KLC2
ARL6IP6,RAB5C;RAB5B;DIRAS1;DIRAS2;RAB5A
ARL6IP6,SUN2
ARL6IP6,TRAPPC11
ARL6IP6,TRAPPC4
ARL6IP6,YWHAB
ARL6IP6,YWHAE
ARL6IP6,YWHAG
ARL6IP6,YWHAH
ARL6IP6,YWHAQ
ARL6IP6,YWHAZ
ARL8A,ARPC1A
ARL8A,BAIAP2
ARL8A,CLASP1
ARL8A,GATAD1
ARL8A,MARK2
ARL8A,MYO6
ARL8A,TRAPPC4
ARL8A,YWHAB
ARL8A,YWHAE
ARL8A,YWHAG
ARL8A,YWHAH
ARL8A,YWHAQ
ARL8A,YWHAZ
ARL8B,APPL1
ARL8B,ARL8A
ARL8B,ARPC1A
ARL8B,ARPC2
ARL8B,ARPC5L
ARL8B,ATP6V0A1
ARL8B,BAIAP2
ARL8B,CAMSAP3
ARL8B,GATAD1
ARL8B,KLC2
ARL8B,LMO7
ARL8B,MARK2
ARL8B,RAB7A
ARL8B,RAF1
ARL8B,TBC1D4
ARL8B,TMEM192
ARL8B,TRAPPC4
ARL8B,TRAPPC8
ARL8B,VAMP7
ARL8B,YWHAB
ARL8B,YWHAE
ARL8B,YWHAG
ARL8B,YWHAH
ARL8B,YWHAQ
ARL8B,YWHAZ
ARPC2,ACTR2
ARPC2,ACTR3
ARPC2,ACTR3B
ARPC2,ARPC1A
ARPC2,ARPC1B
ARPC2,ARPC3
ARPC2,ARPC4-TTLL3;ARPC4
ARPC2,ARPC5
ARPC2,ARPC5L
ARPC2,BOP1
ARPC2,CLEC16A
ARPC2,DYNC1LI1
ARPC2,FAM50A
ARPC2,KIFC1
ARPC2,MRPL42
ARPC2,SIK3
ARPC2,SPECC1L;SPECC1L-ADORA2A
ARPC2,UNNAMED
ARPC2,ZNF830
ARPC3,ACTR2
ARPC3,ACTR3
ARPC3,ACTR3B
ARPC3,ARPC1A
ARPC3,ARPC1B
ARPC3,ARPC2
ARPC3,ARPC4-TTLL3;ARPC4
ARPC3,ARPC5
ARPC3,ARPC5L
ARPC3,BCOR
ARPC3,CHURC1;CHURC1-FNTB
ARPC3,CLEC16A
ARPC3,MNDA
ARPC3,SGTA
ARPC3,UNNAMED
ARPC3,YWHAB
ARPC3,YWHAE
ARPC3,YWHAZ
ASS1,ACADM
ASS1,ALDH1B1
ASS1,C1QBP
ASS1,COX5A
ASS1,CS
ASS1,ETFB
ASS1,GAPDH
ASS1,GFM1
ASS1,HSPD1
ASS1,HSPE1
ASS1,IARS2
ASS1,LDHA
ASS1,LETM1
ASS1,MDH2
ASS1,NDUFA3
ASS1,NDUFAF2
ASS1,OAT
ASS1,PDHB
ASS1,PPA2
ASS1,SDHA
ASS1,SFXN1
ASS1,SLC25A6
ASS1,TIMM44
ASS1,TRAP1
ASS1,UQCRB
ASS1,UQCRC1
ASS1,UQCRFS1;UQCRFS1P1
ATG101,ATG13
ATG101,CCPG1
ATG101,CYP51A1
ATG101,DOCK6
ATG101,EMC8
ATG101,HSBP1
ATG101,NCOA5
ATG101,PRMT1
ATG101,RB1CC1
ATG101,RBMX;RBMXL2
ATG101,SAFB
ATG101,SAFB2
ATG101,ULK1
ATG101,ULK2
ATG12,AIMP1
ATG12,ATG16L1
ATG12,ATG3
ATG12,ATG5
ATG12,EMC8
ATG12,RB1CC1
ATG12,RPL11
ATG12,RPL32
ATG12,RPL38
ATG12,RPS12
ATG12,RPS8
ATG12,TECPR1
ATG13,AIMP1
ATG13,ALYREF
ATG13,ATG101
ATG13,CAPRIN1
ATG13,CCDC124
ATG13,DDX17
ATG13,DDX39B
ATG13,DDX5
ATG13,DDX6
ATG13,DHX9
ATG13,EIF3A
ATG13,EIF3B
ATG13,EIF3C
ATG13,EIF3CL
ATG13,EIF3D
ATG13,EIF3G
ATG13,EIF3H
ATG13,EIF3I
ATG13,EIF3K
ATG13,EIF3L
ATG13,EIF4E
ATG13,EIF4G1
ATG13,EMC8
ATG13,ENAH
ATG13,EPRS
ATG13,GLRX3
ATG13,GLUD1;GLUD2
ATG13,GNB2L1
ATG13,GNL3
ATG13,HCFC1
ATG13,HDLBP
ATG13,HIST2H2AA3;HIST2H2AC
ATG13,HNRNPA0
ATG13,HNRNPA2B1
ATG13,HNRNPA3
ATG13,HNRNPC
ATG13,HNRNPK
ATG13,HNRNPL
ATG13,HNRNPM
ATG13,HP1BP3
ATG13,ILF2
ATG13,ILF3
ATG13,KARS
ATG13,KTN1
ATG13,LARS
ATG13,MARS
ATG13,MATR3
ATG13,MTA2
ATG13,NACA
ATG13,NCOA5
ATG13,NPM1
ATG13,NUFIP2
ATG13,NUMA1
ATG13,PABPC1
ATG13,PABPC4
ATG13,PABPN1
ATG13,PRMT1
