target_gene_name,interactor_gene_name,interaction_stoichiometry
ARHGAP15,BCAP31,
ARHGAP15,CYB5A,
ARHGAP15,EDC4,
ARHGAP15,ESYT1,
ARHGAP15,HACD3,
ARHGAP15,MICAL2,
ARHGAP15,PGRMC1,
ARHGAP15,SCD,
ARHGAP17,ARHGAP44,0.143828004
ARHGAP17,SH3BP1,0.013485639
ARHGAP17,VCL,0.014412418
ARHGAP18,AFTPH,
ARHGAP18,ALDH18A1,
ARHGAP18,AP1AR,
ARHGAP18,AP1B1,
ARHGAP18,AP1G1,
ARHGAP18,AP1M1,
ARHGAP18,AP2A2,
ARHGAP18,AP2B1,
ARHGAP18,AP2M1,
ARHGAP18,AP2S1,
ARHGAP18,BAG2,
ARHGAP18,BAG4,
ARHGAP18,BMP2K,
ARHGAP18,C6ORF10,
ARHGAP18,CALCOCO1,
ARHGAP18,CD2AP,
ARHGAP18,CHMP5,
ARHGAP18,CLINT1,
ARHGAP18,CLTA,
ARHGAP18,CLTB,
ARHGAP18,CLTC,
ARHGAP18,CPSF7,
ARHGAP18,DCP1A,
ARHGAP18,DCP1B,
ARHGAP18,DCP2,
ARHGAP18,DDX6,
ARHGAP18,EDC3,
ARHGAP18,EDC4,
ARHGAP18,EIF4ENIF1,
ARHGAP18,ENPP4,
ARHGAP18,EPN2,
ARHGAP18,EPS15,
ARHGAP18,GAK,
ARHGAP18,GOLGA2,
ARHGAP18,GTSE1,
ARHGAP18,HELZ,
ARHGAP18,HIP1,
ARHGAP18,HSPA1B;HSPA1A,
ARHGAP18,HSPA2,
ARHGAP18,HSPA8,
ARHGAP18,HSPA9,
ARHGAP18,IQSEC1;IQSEC2,
ARHGAP18,IST1,
ARHGAP18,KIAA0430,
ARHGAP18,LSM1,
ARHGAP18,LSM14A,
ARHGAP18,LSM2,
ARHGAP18,LSM4,
ARHGAP18,LSM6,
ARHGAP18,MAP7D2,
ARHGAP18,MEA1,
ARHGAP18,NAN,
ARHGAP18,NBR1,
ARHGAP18,NUDT21,
ARHGAP18,PATL1,
ARHGAP18,PICALM,
ARHGAP18,PIK3C2A,
ARHGAP18,PNRC1,
ARHGAP18,REPS1,
ARHGAP18,SCYL2,
ARHGAP18,SEC13,
ARHGAP18,SEC16A,
ARHGAP18,SMAP2,
ARHGAP18,STOM,
ARHGAP18,SYNRG,
ARHGAP18,TFRC,
ARHGAP18,TNRC6B,
ARHGAP18,WDR6,
ARHGAP18,XRN1,
ARHGAP18,YTHDC2,
ARHGAP18,ZBTB10,
ARHGAP21,PRR36,0.047354895
