target_gene_name,interactor_gene_name,pval
AP2B1,AP2S1,20.04969507
AP2B1,BMP2K,14.69762974
AP2B1,CALCOCO1,24.41918568
AP2B1,EPS15,32.69718759
AP2B1,EPS15L1,10.37860909
AP2B1,FCHO2,49.31104182
AP2B1,NUMB,10.62221583
AP2B1,REPS1,21.08945647
AP2S1,AAGAB,28.57732792
AP2S1,AAK1,16.87231141
AP2S1,AP2A1,33.42083022
AP2S1,AP2A2,48.05754888
AP2S1,AP2B1,32.28200589
AP2S1,AP2M1,70.70303615
AP2S1,BMP2K,11.41582828
AP2S1,C15ORF57,26.66455928
AP2S1,EPS15,32.04189305
AP2S1,EPS15L1,27.72968879
AP2S1,FCHO2,90.67277686
AP2S1,HIST1H1B,6.789245639
AP2S1,PAICS,5.830434539
AP2S1,RAN,4.678400055
APC,CTNNB1,22.99795575
APC,TRAP1,4.587702198
APPL1,ACTR2,5.791533446
APPL1,APPL2,89.23889335
APPL1,ARPC1A,8.981387184
APPL1,ARPC2,5.337942888
APPL1,CAMSAP3,7.677136248
APPL1,KIAA0430,6.120348146
APPL1,YWHAB,24.76559092
APPL1,YWHAE,20.62384217
APPL1,YWHAG,6.082454413
APPL1,YWHAH,13.20440751
APPL1,YWHAQ,14.9247789
APPL1,YWHAZ,41.58987533
APPL2,APPL1,64.61464482
ARAF,CDC37,16.04887737
ARAF,RAF1,32.02968229
ARAF,YWHAB,9.332237655
ARAF,YWHAG,9.799963865
ARAF,YWHAH,6.693252505
ARAF,YWHAZ,11.58228915
ARF1,ARF1;ARF3,23.75224232
ARF1,ARFIP2,18.36407021
ARF3,ANKHD1,5.452228934
ARF3,ARF1;ARF3,15.35079475
ARF3,RAI1,7.880865453
ARF4,ARF5,2.406003781
ARF4,BCAP31,6.802728948
ARF4,ERP44,15.72550612
ARF4,HSP90B1,7.623510417
ARF4,LMAN2,34.7783125
ARF4,SERPINH1,17.65081991
ARF4,WBP11,3.122753129
ARF5,ERP44,7.474330282
ARF5,LMAN2,8.638196753
ARF5,RRP36,3.119162308
ARF5,SERPINH1,4.187152475
ARF6,KAT2A,2.814253758
ARF6,SMARCD2,2.985257657
ARF6,USP6NL,94.51358083
ARFGAP1,CD2AP,12.96193436
ARFGAP1,COPG2,6.08816937
ARFGAP2,MAD2L1,5.460942034
ARFGAP3,SNAPC4,2.968647054
ARFGEF1,AKAP10,9.859149147
ARFGEF1,ARFGEF2,39.07414475
ARFGEF1,C13ORF34;BORA,6.941966943
ARFGEF1,DPY30,12.5122475
ARFGEF1,MSH2,29.1755255
ARFGEF1,MSH6,16.3702757
ARFGEF1,MYCBP,6.342129604
ARFGEF1,TATDN3,3.036615047
ARFGEF2,AKAP10,44.32789233
ARFGEF2,ARFGEF1,44.16866257
ARFGEF2,DPY30,7.635260042
ARFGEF2,MYCBP,21.21268535
ARFIP1,ARFIP2,43.05115073
ARFIP1,ARL1,9.263826111
ARFIP1,HAUS2,31.74308357
ARFIP1,HAUS6,9.532866651
ARFIP1,HAUS7,33.6409715
ARFIP2,ARFIP1,12.39694357
ARFIP2,CCAR1,7.9084606
ARHGAP1,RHOC,10.94837567
ARHGAP11A,CAPZA2,4.697277276
ARHGAP11A,CD2AP,4.991209489
ARHGAP11A,DCTN1;DKFZP686E0752,10.74250751
ARHGAP11A,TWF1,8.134247079
ARHGAP11AB,ACTB,4.371076704
ARHGAP11AB,STOM,8.132389056
ARHGAP15,BCAP29,57.34373777
ARHGAP15,BCAP31,16.80134958
ARHGAP15,CYB5A,7.892429343
ARHGAP15,EDC4,5.551725879
ARHGAP15,ESYT1,8.85424701
ARHGAP15,HACD3,11.03058409
ARHGAP15,MICAL2,48.65431687
ARHGAP15,PGRMC1,10.6031907
ARHGAP15,SCD,7.36716709
ARHGAP17,ARHGAP44,5.770634426
ARHGAP17,SH3BP1,22.03433452
ARHGAP17,VCL,3.149144216
ARHGAP18,AFTPH,5.731758085
ARHGAP18,ALDH18A1,12.2266911
ARHGAP18,AP1AR,9.233693125
ARHGAP18,AP1B1,8.749656597
ARHGAP18,AP1G1,18.22058923
ARHGAP18,AP1M1,47.86089504
ARHGAP18,AP2A2,11.39606756
ARHGAP18,AP2B1,14.89150002
ARHGAP18,AP2M1,17.9921805
ARHGAP18,AP2S1,11.68178525
ARHGAP18,BAG2,4.528900398
ARHGAP18,BAG4,3.039334384
ARHGAP18,BMP2K,4.778088152
ARHGAP18,C6ORF10,9.361801538
ARHGAP18,CALCOCO1,7.393333904
ARHGAP18,CD2AP,3.450769555
ARHGAP18,CHMP5,3.421951623
ARHGAP18,CLINT1,18.88019391
ARHGAP18,CLTA,49.13422945
ARHGAP18,CLTB,7.860925331
ARHGAP18,CLTC,50.33179783
ARHGAP18,CPSF7,8.009487395
ARHGAP18,DCP1A,27.4069467
ARHGAP18,DCP1B,20.56285172
ARHGAP18,DCP2,18.30206226
ARHGAP18,DDX6,10.80784823
ARHGAP18,EDC3,20.42629656
ARHGAP18,EDC4,32.62615865
ARHGAP18,EIF4ENIF1,6.258186427
ARHGAP18,ENPP4,7.342697233
ARHGAP18,EPN2,5.0105275
ARHGAP18,EPS15,10.89732074
ARHGAP18,GAK,5.789320465
ARHGAP18,GOLGA2,2.51286942
ARHGAP18,GTSE1,32.31787836
ARHGAP18,HELZ,4.951301534
ARHGAP18,HIP1,8.907904039
ARHGAP18,HSPA1B;HSPA1A,22.18617659
ARHGAP18,HSPA2,5.484892043
ARHGAP18,HSPA8,6.494894724
ARHGAP18,HSPA9,5.188932737
ARHGAP18,IQSEC1;IQSEC2,9.393346156
ARHGAP18,IST1,3.478697329
ARHGAP18,KIAA0430,10.92283855
ARHGAP18,LSM1,7.6009288
ARHGAP18,LSM14A,3.573245271
ARHGAP18,LSM2,15.08273445
ARHGAP18,LSM4,6.205170236
ARHGAP18,LSM6,3.993665639
ARHGAP18,MAP7D2,11.48740937
ARHGAP18,MEA1,14.38411659
ARHGAP18,NAN,4.179689089
ARHGAP18,NBR1,4.409271864
