target_gene_name,interactor_gene_name,pval,enrichment,interaction_stoichiometry,abundance_stoichiometry
ACTR2,PRDX2,3.478399605,2.671771225,0.00532974,2.344557645
ACTR2,PSMA4,3.158019752,2.241795125,0.002678037,2.170279208
ACTR2,RANBP1,3.471648539,1.925283842,0.006843776,2.944661451
ACTR2,SYDE2,2.796311495,1.998490078,0.000283213,0.006662768
ACTR2,TBC1D4,4.332019223,2.644222345,0.000795975,0.085153944
ACTR2,TRAPPC4,3.875189553,2.477256068,0.001310199,0.255604665
ACTR2,TRAPPC8,5.705831709,2.119101649,4.81E-06,0.025679826
ACTR2,UNNAMED,9.069634892,3.384151003,0.267859121,0
ACTR2,UPF2,5.083103205,3.403843948,5.75E-06,0.074842383
ACTR2,YWHAB,12.1321454,4.033462985,0.105207257,2.078511083
ACTR2,YWHAE,11.74929254,4.055817805,0.199616137,10.72020376
ACTR2,YWHAG,7.192072415,2.987198402,0.020413756,0.995640123
ACTR2,YWHAH,9.852437441,3.718644234,0.05752563,1.133086858
ACTR2,YWHAQ,7.551572342,3.100578145,0.053054614,2.217664245
ACTR2,YWHAZ,26.80707902,6.548251093,0.744012546,9.230354334
ACTR5,INO80C,49.66373876,9.066734737,0.553950164,1.768045908
AGAP1,AGAP3,25.3013838,6.856384746,0.137212124,9.063192346
AGAP1,TANC1,4.033760124,2.373132365,0.004522433,0.662828532
AGAP3,AGAP1,64.76668829,11.06984295,0.670604379,0.110336398
AGAP3,AHCYL1,4.577230825,2.839135138,0.004358373,1.249748429
AGAP3,C12ORF57,7.801189158,3.308210723,0.020584329,0.506458386
AGAP3,DCTN1;DKFZP686E0752,7.538614433,2.957489498,1.52E-05,2.379839467
AGAP3,TANC1,11.96276937,4.348732363,0.01371271,0.073134113
AGAP3,UBE2O,6.854769839,2.785552786,0.001370815,1.624414168
AGO1,AGO2,9.12638015,3.527743294,0.167711068,2.916460984
AGO1,TNRC6A,10.00682762,3.485900269,0.197349244,1.919381878
AGO1,TNRC6B,14.22136789,4.373926924,0.570151275,0.542269664
AGO1,TNRC6C,10.15836883,3.743967858,0.099477649,0.162261795
AGO2,AGO1,6.737950831,2.626979861,0.052210014,0.342881323
AGO2,AGO3,15.28282976,3.915978467,0.022943178,0.388075027
AGO2,CNDP2,5.372058379,2.300188142,0.007703243,5.982738877
AGO2,COPS6,15.75718074,2.015694353,0.000536637,13.77789571
AGO2,FKBP5,23.08350099,4.948078215,0.022555369,3.426144457
AGO2,NELFA,7.503040345,3.1124136,0.005484895,3.599195598
AGO2,TNRC6A,9.618449795,3.382998723,0.187976424,0.658120197
AGO2,TNRC6B,14.97396557,3.955637855,0.393007434,0.18593414
AGO2,TNRC6C,17.97265025,4.294415008,0.233094162,0.055636539
AGPAT6,CHP1,52.37328644,9.587744265,0.351631057,1.056620322
AGPAT6,MSH6,4.599218665,2.717860255,5.51E-05,3.595520278
AGPAT6,TMEM120B,18.06865476,5.626775087,0.054734717,0.611916929
AHCY,ANKRD40,64.08286258,10.65059071,0.020811587,0.030734545
